feature,importance
logmel10_mean,0.019695064
zcr_mean,0.017691806
logmel27_mean,0.016025323
logmel35_mean,0.015638618
rms_std,0.01475053
logmel_d1_24_std,0.014472216
logmel_d1_22_std,0.01366694
logmel14_std,0.013214875
logmel_d1_23_std,0.01061486
spec_flux_mean,0.009510999
logmel_d1_39_std,0.009431092
logmel_d1_21_std,0.00880223
logmel48_std,0.008326927
logmel13_std,0.008081869
logmel_d1_00_std,0.007883381
logmel06_mean,0.007863788
logmel_d1_20_std,0.00757123
logmel37_mean,0.007487007
logmel23_mean,0.007438798
logmel19_mean,0.007407541
logmel49_std,0.0072638956
logmel07_mean,0.006906497
logmel18_mean,0.006787086
logmel_d2_39_std,0.0066911853
rms_mean,0.006587752
logmel24_mean,0.0062656444
logmel08_mean,0.005901793
logmel33_mean,0.0057846764
logmel54_std,0.005780652
logmel09_mean,0.0057653757
spec_contrast00_mean,0.0057275235
logmel_d1_43_std,0.0056797084
logmel_d1_50_std,0.005624808
logmel11_std,0.005574385
logmel62_mean,0.005543592
logmel_d2_38_std,0.005510634
spec_centroid_std,0.0053887474
logmel12_std,0.0053722304
spec_contrast02_mean,0.0051163794
spec_contrast06_mean,0.0047011483
spec_centroid_mean,0.0046760314
logmel_d2_30_std,0.0046043373
logmel41_std,0.0044577112
logmel59_std,0.004372555
logmel17_mean,0.0043516206
logmel43_std,0.004304899
logmel53_std,0.004289453
zcr_std,0.004238265
logmel05_mean,0.0040631024
logmel55_std,0.0040350817
logmel_d2_63_std,0.004015022
logmel34_mean,0.004004691
logmel56_std,0.0038755934
logmel_d2_47_std,0.0038665356
logmel_d1_46_std,0.0038175127
logmel_d2_00_std,0.0037850572
logmel_d2_53_std,0.0037760707
logmel_d1_27_std,0.0037514495
spec_contrast03_mean,0.0037463256
logmel_d1_51_std,0.003738552
logmel58_std,0.0037343604
logmel63_mean,0.0037276594
logmel26_std,0.0036978773
logmel_d2_46_std,0.0036802557
logmel62_std,0.003567122
logmel_d2_50_std,0.003459563
logmel_d1_31_std,0.0034383594
logmel_d2_40_std,0.0034382564
logmel46_std,0.0033745915
logmel_d1_18_std,0.0033731333
logmel04_mean,0.0033529918
logmel15_std,0.0033333364
logmel36_mean,0.0033063248
spec_bandwidth_mean,0.0032904362
spec_contrast00_std,0.0032900132
spec_contrast03_std,0.0032330998
logmel33_std,0.0032040959
spec_contrast01_mean,0.003195991
logmel_d2_51_std,0.0031921775
logmel_d2_35_std,0.0031654316
logmel_d1_10_std,0.0031357086
logmel04_std,0.0030890126
logmel02_mean,0.0030231047
logmel44_std,0.003013252
hnr_mean,0.0029999686
hnr_std,0.0029911997
logmel16_std,0.002984137
logmel_d2_41_std,0.0029775798
logmel21_mean,0.0029695167
spec_rolloff_mean,0.0029618526
logmel03_std,0.0029394203
logmel_d1_55_std,0.0029169312
logmel38_mean,0.0029091996
spec_contrast05_mean,0.002894156
logmel_d2_28_std,0.0028783877
logmel51_std,0.0028774636
logmel_d1_42_std,0.002872975
logmel16_mean,0.0028507982
logmel_d1_34_std,0.0028410293
logmel46_mean,0.0028278257
logmel15_mean,0.002827624
logmel31_std,0.0028268883
logmel47_mean,0.0028190042
logmel26_mean,0.0027772163
logmel52_std,0.0027397678
spec_flatness_mean,0.0026737992
logmel52_mean,0.0026705426
logmel_d2_36_std,0.002670034
logmel00_mean,0.0026688837
logmel_d1_41_std,0.0026545974
